JobID|JobName|ReqMem|MaxRSS|ReqCPUS|UserCPU|Timelimit|Elapsed|State|JobEff
19456474|TESS_Convolve|2000M|0|1|00:00:00|00:05:00|00:00:04|FAILED|-
19456475|TESS_Convolve|2000M|0|1|00:00:00|00:05:00|00:00:00|FAILED|-
19456477|TESS_Convolve|2000M|0|1|00:00.034|00:05:00|00:00:03|FAILED|-
19456526|python|500M|0|1|00:00.009|00:30:00|00:00:03|FAILED|-
19456527|python|500M|0|1|00:04.559|00:30:00|00:00:27|FAILED|-
19456759_2|TESS_Convolve|2000M|0|1|00:00.266|00:05:00|00:00:16|FAILED|-
19456759_1|TESS_Convolve|2000M|0|1|00:00.358|00:05:00|00:00:11|FAILED|-
19456761_2|TESS_Convolve|2000M|-|1|04:37.650|00:05:00|00:05:00|TIMEOUT|-
19456761_1|TESS_Convolve|2000M|-|1|04:43.870|00:05:00|00:05:00|TIMEOUT|-
19456775_2|TESS_Convolve|2000M|0|1|00:00.260|00:05:00|00:00:02|FAILED|-
19456775_1|TESS_Convolve|2000M|0|1|00:00.252|00:05:00|00:00:02|FAILED|-
19456777_2|TESS_Convolve|2000M|0|1|00:00.262|00:05:00|00:00:01|FAILED|-
19456777_1|TESS_Convolve|2000M|0|1|00:00.262|00:05:00|00:00:01|FAILED|-
19456785_2|TESS_Convolve|2000M|-|1|05:08.809|00:05:00|00:05:19|TIMEOUT|-
19456785_1|TESS_Convolve|2000M|-|1|05:14.583|00:05:00|00:05:19|TIMEOUT|-
19456827_2|TESS_Convolve|2000M|-|1|05:13.397|00:05:00|00:05:21|TIMEOUT|-
19456828_2|TESS_Convolve|2000M|-|1|05:00.484|00:05:00|00:05:21|TIMEOUT|-
19456827_1|TESS_Convolve|2000M|-|1|05:13.258|00:05:00|00:05:21|TIMEOUT|-
19456828_1|TESS_Convolve|2000M|-|1|05:04.957|00:05:00|00:05:21|TIMEOUT|-
19456853_7|TESS_Convolve|2000M|83.44M|1|03:55:12|08:00:00|04:02:07|COMPLETED|27.31
19456854_7|TESS_Convolve|2000M|82.68M|1|03:54:46|08:00:00|03:58:38|COMPLETED|26.92
19456855_7|TESS_Convolve|2000M|82.68M|1|03:54:13|08:00:00|03:59:56|COMPLETED|27.06
19456856_7|TESS_Convolve|2000M|82.68M|1|03:55:32|08:00:00|04:00:29|COMPLETED|27.12
19456857_7|TESS_Convolve|2000M|84.52M|1|03:56:42|08:00:00|04:03:11|COMPLETED|27.44
19456853_1|TESS_Convolve|2000M|82.56M|1|03:27:53|08:00:00|03:31:34|COMPLETED|24.1
19456853_2|TESS_Convolve|2000M|84.62M|1|05:15:19|08:00:00|05:18:35|COMPLETED|35.3
19456853_3|TESS_Convolve|2000M|83.31M|1|05:14:43|08:00:00|05:20:20|COMPLETED|35.45
19456853_4|TESS_Convolve|2000M|82.93M|1|04:04:54|08:00:00|04:09:40|COMPLETED|28.08
19456853_5|TESS_Convolve|2000M|83.46M|1|04:18:15|08:00:00|04:23:17|COMPLETED|29.51
19456853_6|TESS_Convolve|2000M|82.92M|1|03:38:27|08:00:00|03:43:27|COMPLETED|25.35
19456854_1|TESS_Convolve|2000M|82.81M|1|03:25:44|08:00:00|03:30:53|COMPLETED|24.04
19456854_2|TESS_Convolve|2000M|83.23M|1|05:19:09|08:00:00|05:23:29|COMPLETED|35.78
