t,curve0,curve1,curve2,curve3,curve4,curve5
-10.0,1.0,0.9961496817438651,1.0,1.0,1.0,1.0
-9.98,1.0,0.9960321954213416,1.0,1.0,1.0,1.0
-9.96,1.0,0.9959758435223224,1.0,1.0,1.0,1.0
-9.94,1.0,0.9959518330084991,1.0,1.0,1.0,1.0
-9.92,1.0,0.9959490266502837,1.0,1.0,1.0,1.0
-9.9,1.0,0.9959661505692022,1.0,1.0,1.0,1.0
-9.88,1.0,0.9960110672804997,1.0,1.0,1.0,1.0
-9.86,1.0,0.9961057996918374,1.0,1.0,1.0,1.0
-9.84,1.0,0.9963086935629061,1.0,1.0,1.0,1.0
-9.82,1.0,0.9972926110951215,1.0,1.0,1.0,1.0
-9.8,1.0,1.0,1.0,1.0,1.0,1.0
-9.78,1.0,1.0,1.0,1.0,1.0,1.0
-9.76,1.0,1.0,1.0,1.0,1.0,1.0
-9.74,1.0,1.0,1.0,1.0,1.0,1.0
-9.72,1.0,1.0,1.0,0.9957193215771936,1.0,1.0
-9.7,1.0,1.0,1.0,1.0,1.0,1.0
-9.68,1.0,1.0,1.0,1.0,1.0,1.0
-9.66,1.0,1.0,1.0,1.0,1.0,1.0
-9.64,1.0,1.0,1.0,1.0,1.0,1.0
-9.62,1.0,1.0,1.0,1.0,1.0,1.0
-9.6,1.0,1.0,1.0,1.0,0.9990848693250266,1.0
-9.58,1.0,1.0,1.0,1.0,0.9970330159578281,1.0
-9.56,1.0,1.0,1.0,1.0,0.9968102406843888,1.0
-9.54,1.0,1.0,1.0,1.0,0.9967103903490722,1.0
-9.52,1.0,1.0,1.0,1.0,0.9966617596947256,1.0
-9.5,1.0,1.0,1.0,1.0,0.9966391333045901,1.0
-9.48,1.0,1.0,1.0,1.0,0.9966317935190079,1.0
-9.46,1.0,1.0,1.0,1.0,0.9966363085838645,1.0
-9.44,1.0,1.0,1.0,1.0,0.996654790353207,1.0
-9.42,1.0,1.0,1.0,1.0,0.9966959396083527,1.0
-9.4,1.0,1.0,1.0,1.0,0.9967804075574638,1.0
-9.38,1.0,1.0,1.0,1.0,0.9969624479549785,1.0
-9.36,1.0,1.0,1.0,1.0,0.998058669925056,1.0
-9.34,1.0,1.0,1.0,1.0,1.0,1.0
-9.32,1.0,1.0,1.0,1.0,1.0,1.0
-9.3,1.0,1.0,1.0,1.0,1.0,1.0
-9.28,1.0,1.0,1.0,1.0,1.0,1.0
-9.26,1.0,1.0,1.0,0.9957186666712325,1.0,1.0
-9.24,1.0,1.0,1.0,1.0,1.0,1.0
-9.22,1.0,1.0,1.0,1.0,1.0,1.0
-9.2,1.0,1.0,1.0,1.0,1.0,1.0
-9.18,1.0,1.0,1.0,1.0,1.0,1.0
-9.16,1.0,1.0,1.0,1.0,1.0,1.0
-9.14,1.0,1.0,1.0,1.0,1.0,1.0
-9.12,1.0,1.0,1.0,1.0,1.0,1.0
-9.1,1.0,1.0,1.0,1.0,1.0,1.0
-9.08,1.0,1.0,1.0,1.0,1.0,1.0
-9.06,1.0,1.0,1.0,1.0,1.0,1.0
-9.04,1.0,1.0,1.0,1.0,1.0,1.0
-9.02,1.0,1.0,1.0,1.0,1.0,1.0
-9.0,1.0,1.0,1.0,1.0,1.0,1.0
-8.98,1.0,1.0,1.0,1.0,1.0,1.0
-8.96,1.0,1.0,1.0,1.0,1.0,1.0
-8.94,1.0,1.0,1.0,1.0,1.0,1.0
-8.92,1.0,1.0,1.0,1.0,1.0,1.0
-8.9,1.0,1.0,1.0,1.0,1.0,1.0
-8.879999999999999,1.0,1.0,1.0,1.0,1.0,1.0
-8.86,1.0,1.0,1.0,1.0,1.0,1.0
-8.84,1.0,1.0,1.0,1.0,1.0,1.0
-8.82,1.0,1.0,1.0,1.0,1.0,1.0
-8.8,1.0,1.0,1.0,0.9957690989003518,1.0,1.0
-8.78,1.0,1.0,1.0,1.0,1.0,1.0
-8.76,1.0,1.0,1.0,1.0,1.0,1.0
-8.74,1.0,1.0,1.0,1.0,1.0,1.0
-8.72,1.0,1.0,1.0,1.0,1.0,1.0
-8.7,1.0,1.0,1.0,1.0,1.0,1.0
-8.68,1.0,1.0,1.0,1.0,1.0,1.0
-8.66,1.0,1.0,1.0,1.0,1.0,1.0
-8.64,1.0,1.0,1.0,1.0,1.0,1.0
-8.62,1.0,1.0,1.0,1.0,1.0,1.0
-8.6,1.0,1.0,1.0,1.0,1.0,1.0
-8.58,1.0,1.0,1.0,1.0,1.0,1.0
-8.56,1.0,1.0,1.0,1.0,1.0,1.0
-8.54,1.0,1.0,1.0,1.0,1.0,1.0
-8.52,1.0,1.0,1.0,1.0,1.0,1.0
-8.5,1.0,1.0,1.0,1.0,1.0,1.0
-8.48,1.0,1.0,1.0,1.0,1.0,1.0
